{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 20}0.6079680598029221
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 100}0.6153075093442066
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 500}0.6116547740400952
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 1000}0.6190621814475026
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 1500}0.6116547740400952
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 20}0.6060822290180088
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}0.6301223241590215
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}0.6153075093442066
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1000}0.6134726469588855
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1500}0.6098029221882433
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 20}0.6134726469588855
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}0.6264186204553178
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500}0.6171593611960585
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1000}0.6153244988107373
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1500}0.6116377845735644
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 20}0.611671763506626
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100}0.6245667686034657
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 500}0.6135066258919469
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 1000}0.6134726469588855
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 1500}0.6171593611960585
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 50, 'n_estimators': 20}0.6079340808698607
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 50, 'n_estimators': 100}0.6098708800543664
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 50, 'n_estimators': 500}0.6171423717295277
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 50, 'n_estimators': 1000}0.6153244988107374
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 50, 'n_estimators': 1500}0.6208800543662929
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 20, 'min_samples_split': 2, 'n_estimators': 20}0.6209480122324159
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 20, 'min_samples_split': 2, 'n_estimators': 100}0.6153754672103295
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 20, 'min_samples_split': 2, 'n_estimators': 500}0.6079510703363914
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 20, 'min_samples_split': 2, 'n_estimators': 1000}0.6135236153584778
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 20, 'min_samples_split': 2, 'n_estimators': 1500}0.6042813455657492
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 20, 'min_samples_split': 5, 'n_estimators': 20}0.6135236153584778
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 20, 'min_samples_split': 5, 'n_estimators': 100}0.6098708800543663
